,video_id,category,duration,made_for_kids,published_at
0,pS-fFdvyHLE,Entertainment,0:00:15,False,2024-11-08T17:00:00Z
1,ds7AvYRHkPY,Entertainment,1:51:48,False,2024-11-10T13:40:06Z
2,xs7y8GOdzY4,People & Blogs,0:00:45,False,2024-11-07T10:01:05Z
3,_GZkiRzkQjY,People & Blogs,0:00:55,False,2024-11-05T20:25:08Z
4,ZYto1r8VRFo,Entertainment,2:08:40,False,2024-11-03T13:40:06Z
5,kWHKFr7AyUE,Entertainment,0:00:47,False,2024-11-05T21:53:31Z
6,FDHrTa37faY,Music,1:55:25,False,2024-11-09T14:00:06Z
7,H1FXyJBxIe8,People & Blogs,0:00:25,False,2024-10-26T11:00:15Z
8,U4z7FqUh9a0,Entertainment,0:00:26,False,2024-11-08T09:16:51Z
9,1iGAHj5HsDA,Autos & Vehicles,0:00:12,False,2024-11-01T10:30:00Z
10,n0ynmiCf4S0,People & Blogs,0:00:46,False,2024-11-09T07:24:48Z
11,7kO_ALcwNAw,Music,0:04:38,False,2024-11-06T14:30:06Z
12,1Tl1riG-rc0,News & Politics,0:00:30,False,2024-11-07T12:00:04Z
13,PYIducWsUc4,Entertainment,0:00:25,False,2024-11-06T09:43:58Z
14,-jvfnm40wO4,Sports,0:00:26,False,2024-11-01T19:09:28Z
15,HKQv2zRaV38,Entertainment,0:31:22,False,2024-11-08T17:00:07Z
16,Tnhk24VIaBQ,Comedy,0:00:35,False,2024-11-03T00:00:25Z
17,UmLu1HC0O3s,People & Blogs,0:00:27,False,2024-11-05T10:00:24Z
18,yxoAsjxV1-o,Entertainment,0:00:36,False,2024-11-07T12:21:37Z
19,hV1ZU5PAAL8,Entertainment,0:01:01,False,2024-11-10T09:12:52Z
20,o9Do7swtdow,Music,1:56:10,False,2024-11-02T14:00:06Z
21,vZv6vqLv2PE,Film & Animation,0:00:34,False,2024-11-05T03:30:32Z
22,tF8nTlXTsRQ,Entertainment,5:49:19,False,2024-11-02T19:18:58Z
23,cAHYilMzHds,People & Blogs,0:00:40,False,2024-11-01T09:26:35Z
24,krJbgklRtec,Entertainment,2:06:34,False,2024-10-27T13:40:06Z
