,video_id,category,duration,made_for_kids
0,pS-fFdvyHLE,Entertainment,0:00:15,False
1,ds7AvYRHkPY,Entertainment,1:51:48,False
2,xs7y8GOdzY4,People & Blogs,0:00:45,False
3,_GZkiRzkQjY,People & Blogs,0:00:55,False
4,ZYto1r8VRFo,Entertainment,2:08:40,False
5,kWHKFr7AyUE,Entertainment,0:00:47,False
6,FDHrTa37faY,Music,1:55:25,False
7,H1FXyJBxIe8,People & Blogs,0:00:25,False
8,U4z7FqUh9a0,Entertainment,0:00:26,False
9,1iGAHj5HsDA,Autos & Vehicles,0:00:12,False
10,n0ynmiCf4S0,People & Blogs,0:00:46,False
11,7kO_ALcwNAw,Music,0:04:38,False
12,1Tl1riG-rc0,News & Politics,0:00:30,False
13,PYIducWsUc4,Entertainment,0:00:25,False
14,-jvfnm40wO4,Sports,0:00:26,False
15,HKQv2zRaV38,Entertainment,0:31:22,False
16,Tnhk24VIaBQ,Comedy,0:00:35,False
17,UmLu1HC0O3s,People & Blogs,0:00:27,False
18,yxoAsjxV1-o,Entertainment,0:00:36,False
19,hV1ZU5PAAL8,Entertainment,0:01:01,False
20,o9Do7swtdow,Music,1:56:10,False
21,vZv6vqLv2PE,Film & Animation,0:00:34,False
22,tF8nTlXTsRQ,Entertainment,5:49:19,False
23,cAHYilMzHds,People & Blogs,0:00:40,False
24,krJbgklRtec,Entertainment,2:06:34,False
25,8Ow8XWW2-xM,People & Blogs,0:00:34,False
26,guHnmL-Giyo,Gaming,0:00:13,False
27,A-QZfDAZW-w,People & Blogs,0:01:00,False
28,PO4rYYCe8kA,Education,0:00:19,False
29,KzGVH8Vaqn4,Comedy,0:00:37,False
30,CzSlvDJfY4E,Entertainment,0:00:57,False
31,ltfmFFQk9-4,People & Blogs,0:00:32,False
32,Trqc-V9IxIA,People & Blogs,0:00:41,False
33,dMglHsrz7UM,People & Blogs,0:01:00,False
34,YJgO-T_k-fE,Howto & Style,0:12:42,False
35,YJNTmWEvZ3I,People & Blogs,0:00:36,False
36,_fppodA-C9k,People & Blogs,0:00:15,False
37,gfukMC_cFMs,Gaming,0:00:12,False
38,imnNDOtQu5Y,Entertainment,0:28:46,False
39,fNdMGKxA1y0,Film & Animation,0:45:50,False
40,B8p_8ScF4YA,Gaming,5:59:20,False
41,-1gPUiWzq_A,Entertainment,0:00:49,False
42,g8-LPR91mBU,Entertainment,0:00:17,False
43,3xO58LhFIes,Entertainment,0:00:56,False
44,ugqpxZOPogg,People & Blogs,0:00:27,False
45,R_YIKCFvPn4,People & Blogs,0:00:16,False
46,4RMaNZXtkgA,Comedy,0:00:16,False
47,sE06oUxJFlY,Entertainment,0:00:24,False
48,GZZ2sMjrMYI,People & Blogs,0:01:00,False
49,oc3uYtPawww,Entertainment,0:00:16,False
50,CrFpqFQqoa0,People & Blogs,0:00:15,True
51,jGOJaMMYBbQ,Autos & Vehicles,0:00:15,False
52,Km9RSCwJUiU,Entertainment,0:00:25,False
53,OjXyqsovGxo,Film & Animation,0:00:35,False
54,MC2PrLRgSVg,People & Blogs,0:00:32,False
55,1NKACOjwFeA,Entertainment,0:01:01,False
56,i0RPJmHLj3s,Music,2:08:11,False
57,FrM-ITSJE88,People & Blogs,0:00:59,False
58,NMjhjrBIrG8,People & Blogs,0:02:47,False
59,K2laGp8f__w,Entertainment,0:00:51,False
60,z-K3WkyGEN4,Comedy,0:00:20,False
61,ekr2nIex040,Music,0:02:54,False
62,Zat3bmUtveA,Entertainment,0:00:49,False
63,S0ra8EwLMzg,Entertainment,2:58:17,False
64,QphkgnxZ-oE,Entertainment,3:58:32,False
65,bg1hLsLpwYI,Sports,0:15:28,False
66,WCm2elbTEZQ,Music,0:04:20,False
67,FH8jhZYLY6I,Entertainment,3:11:20,False
68,A_25Ak4qtzw,People & Blogs,0:00:20,False
69,ZNVVMlZbzVk,Music,0:04:37,False
70,DZb22H39be8,People & Blogs,0:00:59,False
71,pDRmEdSJ4U0,People & Blogs,0:01:00,False
72,9Zq8D1tXr6c,People & Blogs,0:00:32,False
73,XunCYqUxwUg,People & Blogs,0:00:35,False
74,Ipx819pfwMo,People & Blogs,0:00:43,False
75,7YQsCx4u2MQ,Entertainment,0:00:41,False
76,Sds1J0C8qV4,Entertainment,0:00:59,False
77,rm-4EtvByhA,Entertainment,0:00:18,False
78,AM_KMnnkUaQ,People & Blogs,0:00:33,False
79,aHlEy8795Ag,Gaming,0:01:00,False
80,aMxvY0IldwM,Entertainment,0:01:00,False
81,zcW4ExwxraI,Gaming,4:20:31,False
82,oJYifRj-xYs,Entertainment,0:00:17,False
83,QSCKQdY2YPQ,Gaming,0:01:00,False
84,HhSP4Zlmstc,Entertainment,0:00:49,False
85,ReD8i61RZdI,Entertainment,3:36:00,False
86,DEJeoF5fihc,Entertainment,0:00:18,False
87,o4TuCX6VbJY,People & Blogs,0:00:59,False
88,nbv9hNL_eA4,Comedy,0:00:12,False
89,ZNt_GoOBHq8,Entertainment,0:00:19,False
90,_lIu6T3Bp2I,Music,0:06:01,False
91,7g_b0gLehKo,People & Blogs,0:00:34,False
92,KXFuNaYBmyo,Entertainment,0:00:20,False
93,P2z1W-I5Kmo,Pets & Animals,0:00:20,False
94,5VhmJaKV10c,People & Blogs,0:00:28,False
95,ipeZ6cc4w2g,Entertainment,0:00:16,False
96,EzWcohKmHWw,People & Blogs,0:00:49,False
97,4gAo0WSPqoM,Music,1:31:19,False
98,0_861L7wWZM,People & Blogs,0:00:43,False
99,Sv8cBO8y03g,Entertainment,0:00:19,False
100,vWsgTlpRfSE,Entertainment,0:00:59,False
101,BylEgT5vleI,People & Blogs,0:00:20,False
102,i-2LhJamMpU,Entertainment,0:01:00,False
103,rRQ4YpKvNwk,People & Blogs,0:00:16,False
104,KH_Tet3OQZE,Entertainment,0:00:21,False
105,fu1bNFbbecE,Entertainment,3:28:25,False
106,orV6LT259kw,Gaming,0:00:35,False
107,LqxGt3R9dCo,Entertainment,0:00:18,False
108,E3nEgQh-2L0,People & Blogs,0:00:59,False
109,7sBVRloA0Ns,Entertainment,0:00:14,False
110,neaHdRlTs90,News & Politics,0:19:06,False
111,zB9UnlAwA0k,People & Blogs,0:00:36,False
112,1whv7p8vmWQ,People & Blogs,0:00:57,False
113,8dFbeBWzxHA,Entertainment,0:00:36,False
114,zRu8sQwauzU,People & Blogs,0:00:16,False
115,BFnT9aYKm0w,Entertainment,0:00:18,False
116,wFn8lV2LdL8,Howto & Style,0:00:35,False
117,hqg3ZUQwII4,Entertainment,0:00:48,False
118,uDHlB35MtyU,People & Blogs,0:00:55,False
119,5Zl52Dl35h4,Entertainment,0:00:42,False
120,JZbu3AZ5anY,Entertainment,0:00:14,False
121,miPiE-nvRXs,People & Blogs,0:00:35,False
122,OYYDi1jwZM4,People & Blogs,0:00:15,False
123,REOC9FF0dco,People & Blogs,0:00:48,False
124,N_Hrm6usJQ4,Entertainment,0:00:48,False
125,UQ93nVH8kk4,Entertainment,5:04:53,False
126,N0x4btdmL2g,Music,1:57:12,False
127,ChCxsAkmrxA,Entertainment,0:00:20,False
128,mbsgCPwq9PI,Entertainment,3:18:49,False
129,qwq-LD5JU-0,People & Blogs,0:00:29,False
130,U7XEpdX8iKk,Comedy,0:00:16,False
131,fi0uiZilJ2U,People & Blogs,0:00:38,False
132,xlRr610Z3dE,People & Blogs,0:00:18,False
133,h7GMBRVPRGk,People & Blogs,0:00:47,False
134,Ke9dw_C3-RM,People & Blogs,0:00:29,False
135,TLpWKqpIUNY,People & Blogs,0:01:00,False
136,cJL5_-wEQVs,People & Blogs,0:00:11,False
137,KHbPL6VBk9E,Howto & Style,0:00:21,False
138,2d_Iz379Gdw,Gaming,9:31:46,False
139,ZYZgzdz47zc,People & Blogs,0:00:15,False
140,X1rkdQGxI-I,Science & Technology,0:00:34,False
141,1mcOdk879w4,People & Blogs,0:00:59,False
142,0hPqcOg5bgQ,People & Blogs,0:00:37,False
143,HDocWSLaL6o,People & Blogs,0:00:14,False
144,5XsdvKDSXpc,Entertainment,4:15:27,False
145,1lrIip_KXF4,Entertainment,0:00:57,False
146,fCAwmPKBuC0,Entertainment,0:01:00,False
147,7MTAG5aXzYI,Entertainment,1:52:36,False
148,GGTViLt7FJ4,Entertainment,0:00:16,False
149,qRNnaIxO9PM,Gaming,0:01:00,False
150,h5okICzphjQ,Science & Technology,0:01:00,False
151,hZTueMo943E,People & Blogs,0:00:38,False
152,2sdXLLAkoIc,Entertainment,0:00:16,False
153,EhNMCEyFkn8,Entertainment,0:00:17,False
154,ujFkiCfazqo,Entertainment,0:00:56,False
155,AVdxQbW2EOo,People & Blogs,0:00:47,True
156,HDXbBkkDu6U,Entertainment,2:01:21,False
157,YjD9EvGOpTY,People & Blogs,0:00:16,False
158,LOT3fmVdZXs,Entertainment,0:01:00,False
159,JOkLc8ynaFo,Music,1:49:25,False
160,YpFcSfhMFEI,Entertainment,0:01:00,False
161,1ReSdB4McW0,News & Politics,0:00:30,False
162,3EQi5VN6KT0,Entertainment,0:27:50,False
163,9tgCo1LUMMI,Entertainment,0:00:58,False
164,x7KzOqRVto8,Entertainment,0:40:49,False
165,u3CRK7_aF2c,Entertainment,0:00:17,False
166,U1TV8GYMMrw,Entertainment,4:22:58,False
167,BN4PcibvnvE,Comedy,0:00:20,False
168,Icpax6C_Fpc,Entertainment,0:00:17,False
169,fuchP1pVgD8,Entertainment,0:00:55,False
170,0joMz7F4kOs,Entertainment,9:16:55,False
171,Srz9DlTsYxk,People & Blogs,0:00:15,False
172,4TLbHyZ9yQs,Comedy,0:00:23,False
173,JkZBBDL6UMQ,Entertainment,0:00:15,False
174,RFz1UBZokRY,Autos & Vehicles,0:00:13,False
175,cPnsuPGsvUk,People & Blogs,0:00:12,False
176,ELPe_gAYt8E,Sports,3:17:41,False
177,YGiVDmD-bfI,People & Blogs,0:00:54,False
178,0GwNUDtE2p0,Entertainment,4:09:59,False
179,dytERBGu5QY,People & Blogs,0:00:52,False
180,ZAqYs2DTEss,People & Blogs,0:01:00,False
181,Kt2HvqRruHQ,Entertainment,0:00:37,False
182,hju6DeIPJN4,Entertainment,4:07:13,False
183,DrrXDpaOO1s,People & Blogs,0:00:12,False
184,k0QelMqdDpM,People & Blogs,0:00:33,False
185,PVXGCTh-o18,Entertainment,0:00:17,False
186,Syz-bdm5oEE,People & Blogs,0:00:14,False
187,swKBCH7oMHA,Howto & Style,0:00:19,False
188,KJ1RLUlQ5NE,Entertainment,0:00:25,False
189,DEWTyb-eB2g,People & Blogs,0:00:16,False
190,lnhpMqtUt_k,Entertainment,1:58:44,False
191,ONp_AyCWgCo,Entertainment,0:00:58,False
192,JnfPCT4s5oA,Entertainment,0:00:55,False
193,9eI8P0l5lNI,People & Blogs,0:00:38,False
194,uTQh309UD-Q,Entertainment,0:00:14,False
